#wave	flux	unc
-3910	0.003	0.123
-3910.819	0.007	0.125
3911.638	0.049	0.126
3912.457	0.149	0.125
3913.276	0.247	0.127
3914.095	0.205	0.127
3914.914	0.061	0.124
3915.733	0.007	0.123
3916.552	0.102	0.124
3917.371	0.114	0.119
3918.19	0.139	0.116
3919.009	0.144	0.113
3919.828	0.065	0.108
3920.647	0.007	0.106
3921.466	0.045	0.105
3922.285	0.156	0.104
3923.104	0.222	0.102
3923.923	0.151	0.102
3924.742	0.086	0.102
3925.561	0.076	0.1
3926.38	0.093	0.099
3927.199	0.108	0.1
3928.018	0.098	0.098
3928.837	0.069	0.096
3929.656	0.094	0.094
3930.475	0.185	0.091
3931.294	0.117	0.085
3932.113	0.007	0.082
-3932.932	0.024	0.084
3933.751	0.003	0.084
3934.57	0.048	0.08
3935.389	0.041	0.079
3936.208	0.004	0.081
-3937.027	0.007	0.081
-3937.846	0.021	0.081
-3938.665	0.042	0.084
-3939.484	0.045	0.086
-3940.303	0.0	0.086
3941.122	0.07	0.089
3941.941	0.051	0.091
3942.76	0.056	0.093
3943.579	0.136	0.096
3944.398	0.115	0.098
3945.217	0.117	0.096
3946.036	0.132	0.096
3946.855	0.103	0.099
3947.674	0.054	0.1
3948.493	0.034	0.1
3949.312	0.07	0.1
3950.131	0.079	0.1
-3950.95	0.015	0.1
-3951.769	0.043	0.103
-3952.588	0.032	0.104
3953.407	0.041	0.105
3954.226	0.155	0.106
-3955.045	0.016	0.105
-3955.864	0.052	0.103
3956.683	0.097	0.102
3957.502	0.118	0.105
3958.321	0.109	0.105
3959.14	0.052	0.103
-3959.959	0.01	0.101
-3960.778	0.016	0.101
-3961.597	0.007	0.1
3962.416	0.038	0.099
3963.235	0.108	0.097
3964.054	0.136	0.094
3964.873	0.075	0.09
3965.692	0.037	0.088
3966.511	0.054	0.087
3967.33	0.077	0.084
3968.149	0.061	0.08
3968.968	0.009	0.075
3969.787	0.026	0.073
3970.606	0.093	0.073
3971.425	0.085	0.07
3972.244	0.104	0.068
3973.063	0.143	0.071
3973.882	0.103	0.075
-3974.701	0.012	0.077
3975.52	0.042	0.082
3976.339	0.086	0.087
3977.158	0.044	0.09
3977.977	0.055	0.092
3978.796	0.114	0.093
3979.615	0.068	0.095
3980.434	0.033	0.097
3981.253	0.116	0.098
3982.072	0.041	0.099
3982.891	0.054	0.099
3983.71	0.138	0.098
3984.529	0.148	0.098
3985.348	0.185	0.099
3986.167	0.138	0.099
3986.986	0.055	0.098
3987.805	0.041	0.097
3988.624	0.067	0.097
3989.443	0.07	0.098
3990.262	0.074	0.098
3991.081	0.081	0.098
3991.9	0.042	0.098
3992.719	0.058	0.098
3993.538	0.089	0.098
3994.357	0.095	0.1
3995.176	0.092	0.101
3995.995	0.02	0.1
-3996.814	0.045	0.097
-3997.633	0.015	0.095
3998.452	0.069	0.095
3999.271	0.047	0.096
4000.09	0.042	0.097
4000.909	0.113	0.098
4001.728	0.177	0.1
4002.547	0.191	0.1
4003.366	0.206	0.1
4004.185	0.139	0.099
-4005.004	0.008	0.1
4005.823	0.044	0.099
4006.642	0.118	0.097
4007.461	0.141	0.094
4008.28	0.132	0.093
4009.099	0.057	0.095
4009.918	0.054	0.097
4010.737	0.101	0.097
4011.556	0.119	0.097
4012.375	0.121	0.1
4013.194	0.119	0.101
4014.013	0.061	0.099
4014.832	0.021	0.099
4015.651	0.139	0.101
4016.47	0.251	0.103
4017.289	0.238	0.1
4018.108	0.174	0.098
4018.927	0.171	0.1
4019.746	0.114	0.099
4020.565	0.13	0.099
4021.384	0.181	0.1
4022.203	0.126	0.1
4023.022	0.122	0.099
4023.841	0.115	0.098
4024.66	0.082	0.099
4025.479	0.102	0.099
4026.298	0.198	0.098
4027.117	0.184	0.098
4027.936	0.133	0.097
4028.755	0.163	0.098
4029.574	0.124	0.1
4030.393	0.107	0.101
4031.212	0.111	0.099
4032.031	0.065	0.095
-4032.85	0.006	0.093
4033.669	0.05	0.092
4034.488	0.151	0.092
4035.307	0.16	0.091
4036.126	0.111	0.088
4036.945	0.127	0.09
4037.764	0.097	0.093
4038.583	0.01	0.094
4039.402	0.013	0.095
4040.221	0.023	0.096
4041.04	0.026	0.098
4041.859	0.049	0.097
4042.678	0.077	0.095
